Unnamed: 0,Date,Stock,Open,High,Low,Close,Volume,Daily_Return,Volatility_10,Volatility_20,SMA_10,SMA_20,std_10,std_20,Upper_BB_10,Lower_BB_10,Upper_BB_20,Lower_BB_20,Direction,topic_-1_negative,topic_-1_neutral,topic_-1_positive,topic_0_negative,topic_0_neutral,topic_0_positive,topic_1_negative,topic_1_neutral,topic_1_positive,topic_2_negative,topic_2_neutral,topic_2_positive,topic_3_negative,topic_3_neutral,topic_3_positive,topic_4_negative,topic_4_neutral,topic_4_positive,topic_5_negative,topic_5_neutral,topic_5_positive,topic_6_negative,topic_6_neutral,topic_6_positive,topic_7_negative,topic_7_neutral,topic_7_positive,topic_8_negative,topic_8_neutral,topic_8_positive,topic_-1,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8
1275,07-03-2024,AAPL,168.3550385,169.9276148,167.6981518,168.2057495,71765100,-0.000709523,0.010864176,0.009451671,176.3154709,180.1080605,5.717259482,5.796522312,187.7499899,164.8809519,191.7011051,168.5150158,Down,30,18,8,1,0,0,9,8,2,1,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,56,1,19,1,0,1,3,0,0,0
1276,07-03-2024,ABBV,175.7865063,176.0084183,173.2296379,174.2234497,6125200,-0.002706201,0.009496696,0.008199969,172.3892685,170.6853371,1.438883369,2.240495957,175.2670352,169.5115018,175.166329,166.2043452,Down,30,18,8,1,0,0,9,8,2,1,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,56,1,19,1,0,1,3,0,0,0
1277,07-03-2024,ADBE,550,558.3800049,541.5900269,556.039978,2660500,0.023844944,0.020993678,0.024090087,556.1350037,568.8955017,9.013786082,28.80836064,574.1625758,538.1074315,626.512223,511.2787804,Up,30,18,8,1,0,0,9,8,2,1,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,56,1,19,1,0,1,3,0,0,0
1278,07-03-2024,AMD,212.5200043,213.8300018,208.2200012,211.3800049,63869000,0.003560746,0.034135439,0.037467081,193.4740005,183.0594994,15.25936644,15.4506135,223.9927334,162.9552677,213.9607264,152.1582724,Up,30,18,8,1,0,0,9,8,2,1,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,56,1,19,1,0,1,3,0,0,0
1279,07-03-2024,AMZN,174.8300018,177.9900055,173.7200012,176.8200073,34063300,0.019076785,0.012065063,0.01523012,175.3429993,172.9619987,1.851218006,3.250388023,179.0454353,171.6405633,179.4627748,166.4612227,Up,30,18,8,1,0,0,9,8,2,1,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,56,1,19,1,0,1,3,0,0,0
1280,07-03-2024,BA,200.6999969,203.7299957,200.5700073,203.0299988,5965300,0.010099496,0.012914258,0.011190316,201.9199982,203.5224998,2.126213171,3.052324968,206.1724245,197.6675718,209.6271498,197.4178499,Up,30,18,8,1,0,0,9,8,2,1,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,56,1,19,1,0,1,3,0,0,0
1281,07-03-2024,BAC,34.74186167,35.03463316,34.4002999,34.77114105,35900700,0.005928936,0.010294643,0.012655371,33.72964783,33.10253735,0.773327155,0.891643289,35.27630214,32.18299352,34.88582392,31.31925077,Up,30,18,8,1,0,0,9,8,2,1,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,56,1,19,1,0,1,3,0,0,0
1282,07-03-2024,BLK,819.0539101,820.2560967,810.8828356,812.9060669,384700,0.001565518,0.010408851,0.011324783,795.5381409,784.6041229,12.93929794,15.7754751,821.4167367,769.659545,816.1550731,753.0531727,Up,30,18,8,1,0,0,9,8,2,1,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,56,1,19,1,0,1,3,0,0,0
1283,07-03-2024,BP,34.34304272,34.65508201,34.30521912,34.44705582,6869000,0.000274713,0.009300071,0.008052405,33.66506729,33.67431622,0.483033593,0.362488967,34.63113448,32.69900011,34.39929415,32.94933828,Up,30,18,8,1,0,0,9,8,2,1,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,56,1,19,1,0,1,3,0,0,0
1284,07-03-2024,C,55.61902355,56.17965828,55.12604787,55.79301453,14720300,0.007505625,0.009051327,0.011479363,54.18359871,53.46347046,0.821506803,1.122435354,55.82661231,52.5405851,55.70834117,51.21859975,Up,30,18,8,1,0,0,9,8,2,1,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,56,1,19,1,0,1,3,0,0,0
1285,07-03-2024,COP,108.5803364,110.2324104,108.5414631,109.5618591,5097300,0.006696969,0.010768965,0.013095899,109.0322311,108.3695248,0.843779913,1.321519438,110.719791,107.3446713,111.0125636,105.7264859,Up,30,18,8,1,0,0,9,8,2,1,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,56,1,19,1,0,1,3,0,0,0
1286,07-03-2024,CRM,304.3003361,305.0660482,300.0739425,300.7402344,6788900,-0.004444143,0.023763718,0.02088545,302.0867157,294.547821,7.475299409,9.685242743,317.0373145,287.1361169,313.9183065,275.1773356,Down,30,18,8,1,0,0,9,8,2,1,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,56,1,19,1,0,1,3,0,0,0
1287,07-03-2024,CSCO,47.92742611,47.96620323,47.33609162,47.40394974,21224700,-0.005491116,0.007324654,0.008892997,47.1664444,47.47035236,0.377424706,0.668414814,47.92129381,46.41159498,48.80718199,46.13352274,Down,30,18,8,1,0,0,9,8,2,1,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,56,1,19,1,0,1,3,0,0,0
1288,07-03-2024,CVX,142.3413633,144.4980506,142.293434,143.1752777,8739300,0.007011416,0.010167809,0.012646996,145.1785965,145.655925,2.187826932,2.364933819,149.5542504,140.8029426,150.3857926,140.9260573,Up,30,18,8,1,0,0,9,8,2,1,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,56,1,19,1,0,1,3,0,0,0
1289,07-03-2024,DIS,109.7055184,110.0821095,108.2189937,109.1901932,8609300,0.001090361,0.012196447,0.02846692,109.6034447,109.2600574,1.984515009,1.823193126,113.5724747,105.6344147,112.9064437,105.6136712,Up,30,18,8,1,0,0,9,8,2,1,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,56,1,19,1,0,1,3,0,0,0
